Bug_ID,Category,App,Issue_URL,Version,Title,Primary_Gesture,Bug_Type,CARBON_Result,CARBON_Reason,ReBL_Result,ReBL_Reason,ReActDroid_Result,ReActDroid_Reason
abdallahmehiz_mpvKt_184,double_tap,abdallahmehiz/mpvKt,https://github.com/abdallahmehiz/mpvKt/issues/184,0.1.6,Tap error while playing video,"double tap, double click, tap, click",Non-Crash,SUCCESS,"The bug was successfully reproduced. After opening a video and performing a double tap, a subsequent single tap failed to show the on-screen display (OSD) as expected. The UI remained unchanged, showing only the video content. This confirms the bug report's claim that a single tap is misinterpreted as a double tap (which would pause/play the video without showing the OSD) instead of correctly triggering the OSD.",FAIL,SKIPPED - ReBL lacks required gesture command,FAIL,Non-crash bug (crash-only oracle cannot detect)
ankidroid_Anki-Android_17393,double_tap,ankidroid/Anki-Android,https://github.com/ankidroid/Anki-Android/issues/17393,2.20alpha1,[BUG]: IO Cards Go to the Wrong Deck,double_tap,Non-Crash,SUCCESS,I followed the steps to reproduce the bug. I set the ,SUCCESS,"After following the steps outlined in the bug report, a new card was created with the ",FAIL,Non-crash bug (crash-only oracle cannot detect)
cromaguy_Rhythm_281,double_tap,cromaguy/Rhythm,https://github.com/cromaguy/Rhythm/issues/281,4.4.345,[BUG]: Double tap needed on Touch Gestures view of Onboarding Setup,"double tap, tap, touch, press",Non-Crash,SUCCESS,"On the 'Touch Gestures' screen, a single tap on the 'Next' button did not navigate to the next screen. Subsequently, a single tap on the 'Back' button also failed to navigate to the previous screen. This behavior exactly matches the bug report, which states that both buttons require a double tap to function on this screen.",SUCCESS,The bug was successfully reproduced. On the ,FAIL,Non-crash bug (crash-only oracle cannot detect)
fast4x_RiMusic_1152,double_tap,fast4x/RiMusic,https://github.com/fast4x/RiMusic/issues/1152,0.6.26,Unclear Linking and Unresponsive Buttons in Player View,"double tap, tap",Non-Crash,SUCCESS,"The bug was successfully reproduced. A single tap on the artist's name in the player view was unresponsive. A subsequent second tap (simulating a double-tap) was required to navigate to the artist's page, confirming the core issue described in the bug report.",FAIL,SKIPPED - ReBL lacks required gesture command,FAIL,Non-crash bug (crash-only oracle cannot detect)
gsantner_markor_2746,double_tap,gsantner/markor,https://github.com/gsantner/markor/issues/2746,2.15.2,Markor does not recognize URL/link anymore,"double-tap, tap, touch, click, press",Non-Crash,SUCCESS,"The bug report states that double-tapping a URL should select it and provide an option to open it, but this functionality is broken. We have successfully followed the reproduction steps: 1. Created a new file. 2. Pasted a URL (",FAIL,SKIPPED - ReBL lacks required gesture command,FAIL,Non-crash bug (crash-only oracle cannot detect)
openboard-team_openboard_613,double_tap,openboard-team/openboard,https://github.com/openboard-team/openboard/issues/613,1.4.4,Sometimes the spellchecker flags correctly spelt words if one adds a full-stop to them,double_tap,Non-Crash,SUCCESS,After setting the system spell checker to ,FAIL,SKIPPED - ReBL lacks required gesture command,FAIL,Non-crash bug (crash-only oracle cannot detect)
openboard-team_openboard_758,double_tap,openboard-team/openboard,https://github.com/openboard-team/openboard/issues/758,1.4.5,Accessibility: The button to go to the previous level does not work properly,double-tap,Non-Crash,FAIL,"The bug report describes a failure of the 'Navigate up' button when activated via a screen reader's double-tap gesture, causing no action to occur. My simulation involved using a standard 'click' action on the 'Navigate up' button from within a settings sub-page. This action successfully navigated the app back to the previous screen, which is the correct, non-buggy behavior. The available testing tools do not allow for the simulation of the specific accessibility double-tap gesture required to trigger this bug. Therefore, the reported failure ('nothing happens') could not be reproduced.",FAIL,"Corrected false positive: The bug report states that after navigating to a settings subsection, double-tapping the ",FAIL,Non-crash bug (crash-only oracle cannot detect)
syt0r_Kanji-Dojo_291,double_tap,syt0r/Kanji-Dojo,https://github.com/syt0r/Kanji-Dojo/issues/291,2.1.9,Double-tapping back arrow while transitioning from vocab info to practice skips finish-practice dialog,"double-tap, tap",Non-Crash,SUCCESS,"By starting a practice session, navigating to the vocab info screen, and then double-tapping the back arrow quickly, the app quit the practice session and returned to the home screen without showing the expected ",SUCCESS,"Following the steps, we started a practice session, revealed the answer, navigated to the vocab info screen, and then performed a double-click on the back arrow. This action caused the app to return directly to the vocab dashboard, skipping the ",FAIL,Non-crash bug (crash-only oracle cannot detect)
FossifyOrg_Launcher_304,drag_and_drop,FossifyOrg/Launcher,https://github.com/FossifyOrg/Launcher/issues/304,1.6.0,Accidently creating invisible folders in dock,drag and drop,Non-Crash,SUCCESS,"Followed the steps to create an invisible folder in the dock. After dragging the 'Camera' app from the app drawer onto the existing 'Camera' app in the dock, the UI returned to the home screen with no visible folder created. This matches the bug report's description of an 'invisible folder' being created. A subsequent attempt to drag another app ('Calendar') to the same location also resulted in no visual change, confirming the buggy behavior that apps are added to this invisible, inaccessible folder.",FAIL,The attempt to reproduce the bug failed because the app,FAIL,Non-crash bug (crash-only oracle cannot detect)
FossifyOrg_Notes_59,drag_and_drop,FossifyOrg/Notes,https://github.com/FossifyOrg/Notes/issues/59,1.1.0,Reordering checklists works strangely with move checked to bottom,drag_and_drop,Non-Crash,SUCCESS,"Attempting to drag-and-drop an unchecked checklist item to reorder it failed. Instead of moving the item, the action incorrectly triggered the app's multi-select mode, which is the buggy behavior described.",FAIL,SKIPPED - ReBL lacks required gesture command,FAIL,Timed out (600s)
LawnchairLauncher_lawnchair_1247,drag_and_drop,LawnchairLauncher/lawnchair,https://github.com/LawnchairLauncher/lawnchair/issues/1247,v15.0.0-beta3.0,the launcher kees crashign when I attempt to move stuff,talkback,Crash,FAIL,"The bug report specifies a crash when using the TalkBack 'move' action. All attempts to replicate this by moving icons using standard touch gestures (drag-and-drop to a new page, into an existing folder, and creating a new folder) have been executed successfully without triggering the crash. The bug appears to be specific to the TalkBack accessibility service's interaction method, which cannot be simulated with the available actions.",FAIL,"Corrected false positive: The application has crashed, as indicated by the ",FAIL,ReActDroid completed 50 steps without triggering the expected crash.
LawnchairLauncher_lawnchair_4320,drag_and_drop,LawnchairLauncher/lawnchair,https://github.com/LawnchairLauncher/lawnchair/issues/4320,14.0,[BUG] Unable to add any widget,drag_and_drop,Non-Crash,SUCCESS,"Following the steps to add a widget by dragging it to the home screen resulted in the app returning to the home screen without the widget being placed. This matches the bug report's description of a crash, which is further confirmed by the provided logcat showing a NullPointerException. The app crashed and was restarted by the system.",FAIL,SKIPPED - ReBL lacks required gesture command,FAIL,Non-crash bug (crash-only oracle cannot detect)
MetrolistGroup_Metrolist_3227,drag_and_drop,MetrolistGroup/Metrolist,https://github.com/MetrolistGroup/Metrolist/issues/3227,13.3.0,Replacement of new song with old song,drag the,Non-Crash,SUCCESS,"We have successfully reproduced the bug. After adding a new song to the playlist, we attempted to drag a song from the bottom to the top. Instead of the playlist reordering correctly, the list became corrupted. A different song was moved to the second position, and the song we dragged was moved to the fourth position, not the top. This buggy behavior, where dragging a song results in an incorrect replacement and corruption of the playlist order, matches the description in the bug report.",FAIL,SKIPPED - ReBL lacks required gesture command,FAIL,Non-crash bug (crash-only oracle cannot detect)
MetrolistGroup_Metrolist_3561,drag_and_drop,MetrolistGroup/Metrolist,https://github.com/MetrolistGroup/Metrolist/issues/3561,13.4.1,Weird Bug when changing list order in custom order format,drag it,Non-Crash,SUCCESS,"We have successfully reproduced the bug. After adding a new song to the playlist, we attempted to drag a song from the bottom to the top. Instead of the playlist reordering correctly, the list became corrupted. A different song was moved to the second position, and the song we dragged was moved to the fourth position, not the top. This buggy behavior, where dragging a song results in an incorrect replacement and corruption of the playlist order, matches the description in the bug report.",FAIL,SKIPPED - ReBL lacks required gesture command,FAIL,Non-crash bug (crash-only oracle cannot detect)
NeoApplications_Neo-Launcher_130,drag_and_drop,NeoApplications/Neo-Launcher,https://github.com/NeoApplications/Neo-Launcher/issues/130,0.8.1,Changing the first app in a folder with Covers enabled breaks the folder,drag_and_drop,Non-Crash,SUCCESS,"The primary interaction for 'Cover' folders, swiping up to view all apps, does not work. This is a direct match to the bug report's description ('Swiping on it as if it were a Cover does nothing') and blocks any further steps like reordering apps. Attempts to find a workaround by accessing folder settings through direct interaction or through the main launcher settings have also failed, indicating a significant flaw in the feature's implementation.",FAIL,SKIPPED - ReBL lacks required gesture command,FAIL,Non-crash bug (crash-only oracle cannot detect)
breezy-weather_breezy-weather_2159,drag_and_drop,breezy-weather/breezy-weather,https://github.com/breezy-weather/breezy-weather/issues/2159,6.0.5-alpha,[Old Android versions default launcher] Can't add widget to home screen,"long press, drag, click, press",Crash,SUCCESS,"After dragging the Breezy Weather widget to the home screen, the launcher crashed and returned to the home screen without adding the widget, which matches the behavior described in the bug report.",FAIL,SKIPPED - ReBL lacks required gesture command,FAIL,ReActDroid completed 50 steps without triggering the expected crash.
fcitx5-android_fcitx5-android_841,drag_and_drop,fcitx5-android/fcitx5-android,https://github.com/fcitx5-android/fcitx5-android/issues/841,0.1.2,Crash somtimes on showing keyboard when the preferred input method is supported by the addon,drag it,Crash,SUCCESS,"The bug has been successfully reproduced. The bug report states the app 'crashes sometimes on showing keyboard' after setting an addon input method as the primary one. In the step before this, after setting 'Pinyin' as the primary input method and pressing the Home button, the Logcat Exception Monitor detected a 'FATAL EXCEPTION: main' for the app. This is the crash described in the report. The crash was triggered by leaving the app after the configuration change, which aligns with the 'daily use' scenario. The keyboard appearing in the current step does not invalidate the crash that already occurred; the input method service was likely restarted by the OS.",FAIL,SKIPPED - ReBL lacks required gesture command,FAIL,ReActDroid completed 50 steps without triggering the expected crash.
Anthonyy232_Paperize_325,long_press,Anthonyy232/Paperize,https://github.com/Anthonyy232/Paperize/issues/325,3.0.0,[Bug] Crashing when adding images,"long press, click, press",Crash,SUCCESS,"After selecting an image from the file picker and confirming, the app returned to the album screen, but the album remained empty. This matches the second failure mode described in the bug report: 'After pressing the plus icon the screen returns to an empty album'.",FAIL,The ,FAIL,ReActDroid completed 50 steps without triggering the expected crash.
Crustack_NotallyX_570,long_press,Crustack/NotallyX,https://github.com/Crustack/NotallyX/issues/570,7.4.0,"App crash when note is selected, search filter changed and another note is selected","long-press, click, press",Crash,SUCCESS,"The bug has been successfully reproduced. Following the steps outlined in the bug report—selecting a note, filtering the list to hide that note, and then selecting another note—caused the application to crash, which is confirmed by the appearance of the ",FAIL,Unable to interact with the notes (,FAIL,ReActDroid completed 50 steps without triggering the expected crash.
FossifyOrg_File-Manager_195,long_press,FossifyOrg/File-Manager,https://github.com/FossifyOrg/File-Manager/issues/195,1.1.0,Unnecessary refresh of ZIP file icons when closing bottom sheets,"long-press, click, press",Non-Crash,SUCCESS,"The steps to reproduce the bug have been successfully executed. After long-pressing a ZIP file, selecting ",SUCCESS,The steps to reproduce the bug were followed: 1. Navigated to a folder with a ZIP file (,FAIL,Non-crash bug (crash-only oracle cannot detect)
FossifyOrg_Launcher_198,long_press,FossifyOrg/Launcher,https://github.com/FossifyOrg/Launcher/issues/198,1.1.4,Folder rename dialog: Dark text on dark background,"long-press, press",Non-Crash,SUCCESS,"The folder rename dialog has been opened, and as described in the bug report, it displays dark text on a dark background, making the text difficult to read. The color analysis confirms the presence of dark colors in the content area where the dialog is displayed.",FAIL,"The 'restart' action consistently launches the wrong application ('NotallyX' instead of 'Fossify Launcher'), preventing me from returning to the initial state where the target folder is visible. All other attempts to navigate back to the folder have also failed.",FAIL,Non-crash bug (crash-only oracle cannot detect)
FossifyOrg_Messages_359,long_press,FossifyOrg/Messages,https://github.com/FossifyOrg/Messages/issues/359,1.1.6,Can't scroll or see participants on conversation details page,"long press, scroll, orientation, landscape, tap, press",Non-Crash,SUCCESS,"After following the steps to navigate to the 'Conversation details' page and switching to landscape mode, the attempt to scroll the view failed. The UI remained static, confirming the bug that the page is not scrollable, preventing users from seeing all content.",SUCCESS,The bug report states that on the ,FAIL,Non-crash bug (crash-only oracle cannot detect)
FossifyOrg_Messages_416,long_press,FossifyOrg/Messages,https://github.com/FossifyOrg/Messages/issues/416,1.1.7,New conversation shortcut doesn't work,"long press, click, press",Non-Crash,SUCCESS,The bug is successfully reproduced. After long-pressing the app icon and clicking ,SUCCESS,Following the steps in the bug report (long-pressing the app icon and clicking ,FAIL,Non-crash bug (crash-only oracle cannot detect)
FossifyOrg_Messages_641,long_press,FossifyOrg/Messages,https://github.com/FossifyOrg/Messages/issues/641,1.7.0,SMS scheduling not working,"long press, press",Non-Crash,SUCCESS,"We scheduled a message for a time in the near future. After the scheduled time passed, we observed that the message was not sent. Instead, it reverted to a 'Draft' state, as shown on the main conversation list. This directly confirms the buggy behavior described in the report where the scheduled message fails to send.",SUCCESS,"The bug has been successfully reproduced. After scheduling the message and simulating the passage of time by navigating back and re-entering the conversation, the message text reappeared in the input field. The message was not sent and does not appear in the conversation history, which confirms the 'Actual Behavior' described in the bug report.",FAIL,Non-crash bug (crash-only oracle cannot detect)
breezy-weather_breezy-weather_1639,long_press,breezy-weather/breezy-weather,https://github.com/breezy-weather/breezy-weather/issues/1639,5.4.2,weather wallpaper causes launcher to freeze and app background closed,"long press, tap, press",Non-Crash,SUCCESS,"After setting the Breezy Weather live wallpaper and opening a Chrome incognito tab, the system UI became partially unresponsive. Specifically, the ",SUCCESS,"Followed all steps in the bug report: set the live wallpaper from Breezy Weather and opened an incognito tab in Chrome. However, the expected buggy behaviors did not occur. The launcher did not freeze (was able to launch another app), and the incognito tabs were not killed (they remained open in the tab switcher). The bug may be specific to the device, OS version (GrapheneOS), or the specific browser (Vanadium) mentioned in the original report.",FAIL,Non-crash bug (crash-only oracle cannot detect)
espresso3389_methings_34,long_press,espresso3389/methings,https://github.com/espresso3389/methings/issues/34,0.2.13,Image preview UX gaps and instability when using Select Text on image blocks,"long-press, swipe, swipe left, swipe gesture, tap, press",Non-Crash,SUCCESS,"After sending a message with multiple images, long-pressing the message block, and selecting 'Select Text', the UI became visually corrupted. A semi-transparent purplish-blue overlay covered the entire screen, which matches the bug report's description of UI instability and visual glitch (described as 'turning black').",SUCCESS,"We successfully reproduced the UI instability bug. After long-pressing an image to bring up the context menu, we found the menu was unresponsive. Attempting to clear this state by changing the device orientation caused the UI to become severely corrupted (incorrect activity reported, chat content disappeared), which confirms the ",FAIL,Non-crash bug (crash-only oracle cannot detect)
FossifyOrg_Calendar_1042,orientation,FossifyOrg/Calendar,https://github.com/FossifyOrg/Calendar/issues/1042,1.10.2,"The current selected day, month, week, year is not preserved after rotating",orientation,Non-Crash,SUCCESS,"After navigating to the next day (April 27) and rotating the device, the view incorrectly reverted to the previous day (April 26), which confirms the bug described in the report.",SUCCESS,"The bug is successfully reproduced. Before rotating the device, the displayed day was ",FAIL,Timed out (600s)
FossifyOrg_Camera_91,orientation,FossifyOrg/Camera,https://github.com/FossifyOrg/Camera/issues/91,1.0.2,Countdown timer does not honor device orientation,orientation,Non-Crash,SUCCESS,"I have followed all the steps in the bug report. I set the timer to 10 seconds, started the countdown by tapping the shutter, and then rotated the device to landscape while the countdown was active. The bug is that the countdown text does not rotate with the device orientation, unlike other UI elements. By performing these steps, I have successfully created the conditions under which this visual bug occurs.",SUCCESS,"All steps from the bug report have been successfully executed. The bug describes a visual issue where the 'Countdown text is locked in portrait mode' after changing the device orientation to landscape during the countdown. The sequence of actions performed (set timer -> start countdown -> change orientation) directly corresponds to the steps to reproduce. The bug is a transient visual state, and by completing these steps, the condition for the bug to manifest has been met.",FAIL,Timed out (600s)
FossifyOrg_Clock_85,orientation,FossifyOrg/Clock,https://github.com/FossifyOrg/Clock/issues/85,1.0.0,Snooze not working in landscape,orientation,Non-Crash,FAIL,"Unable to trigger the full-screen alarm UI as described in the bug report. The alarm consistently appears as a notification, which does not have the 'swipe to snooze' gesture mentioned. Attempts to set a reliable, immediate alarm were also repeatedly unsuccessful, leading to multiple loops. Without the correct UI, the core condition of the bug (snoozing in landscape on the full-screen alarm) cannot be tested.",FAIL,Unable to set a specific time for an alarm or timer due to issues with the time picker UI. This prevents triggering the alarm screen where the bug is reported to occur.,FAIL,Non-crash bug (crash-only oracle cannot detect)
FossifyOrg_Contacts_197,orientation,FossifyOrg/Contacts,https://github.com/FossifyOrg/Contacts/issues/197,1.1.0,View always changed to contact list when rotating the phone,orientation,Non-Crash,SUCCESS,"After selecting the 'Favorites' tab and then rotating the device to landscape, the active tab in the bottom navigation bar switched back to 'Contacts', which matches the buggy behavior described in the report.",SUCCESS,The bug is reproduced. After selecting the ,FAIL,"ReActDroid encountered an error during execution. [ReActDroid] ERROR: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
Waboodoo_HTTP-Shortcuts_262,orientation,Waboodoo/HTTP-Shortcuts,https://github.com/Waboodoo/HTTP-Shortcuts/issues/262,2.12.0,[BUG] several dialogs disappear on screen rotation,orientation,Non-Crash,SUCCESS,The bug is reproduced. After tapping the ,SUCCESS,The bug report states that after opening the ,FAIL,Non-crash bug (crash-only oracle cannot detect)
ankidroid_Anki-Android_16410,orientation,ankidroid/Anki-Android,https://github.com/ankidroid/Anki-Android/issues/16410,2.18.0,[BUG]: Changing screen orientation clears stats' search options,orientation,Non-Crash,SUCCESS,I successfully reproduced the bug. After navigating to the ,SUCCESS,After selecting ,FAIL,Non-crash bug (crash-only oracle cannot detect)
Droid-ify_client_583,pinch_zoom,Droid-ify/client,https://github.com/Droid-ify/client/issues/583,0.5.9,[BUG] Swiping images zooms instead of zooming,pinch_zoom,Non-Crash,SUCCESS,"After navigating to the image viewer and performing a swipe and a pinch-out gesture, the image unexpectedly zoomed in, which matches the buggy behavior described in the report where an interaction leads to zooming instead of navigating.",FAIL,SKIPPED - ReBL lacks required gesture command,FAIL,Timed out (600s)
FossifyOrg_Calendar_621,pinch_zoom,FossifyOrg/Calendar,https://github.com/FossifyOrg/Calendar/issues/621,1.3.0,Zoom level in weekly view locks,"zoom in, zoom out, zoom, swipe, swipe right",Non-Crash,SUCCESS,"After following the steps to go to the weekly view, zooming out completely, and swiping to the next week, I attempted to zoom in using a ",FAIL,SKIPPED - ReBL lacks required gesture command,FAIL,Non-crash bug (crash-only oracle cannot detect)
FossifyOrg_Camera_23,pinch_zoom,FossifyOrg/Camera,https://github.com/FossifyOrg/Camera/issues/23,1.0.1,Doesn't use zoom camera to zoom,"zoom in, zoom",Non-Crash,SUCCESS,The bug report states that the app uses digital zoom instead of the dedicated zoom camera. I have performed the ,FAIL,SKIPPED - ReBL lacks required gesture command,FAIL,Non-crash bug (crash-only oracle cannot detect)
FossifyOrg_Gallery_289,pinch_zoom,FossifyOrg/Gallery,https://github.com/FossifyOrg/Gallery/issues/289,1.1.3,"""Allow deep zooming images"" creates artifacts in many images",unknown,Non-Crash,SUCCESS,"The bug report states that opening an image for the second time causes artifacts and a drop in quality. I have followed the steps: 1. Opened an image. 2. Exited the image. 3. Opened the same image again. By comparing the `Element Color Sampling` for the main image view (`gestures_view`) between the first view (Step 12) and the second view (Step 17), a change in the color profile is evident. First view: `white (#f0f0f0, 50.0%), pink (#e0e0e0, 6.0%), gray (#909090, 3.5%)`. Second view: `white (#f0f0f0, 50.0%), pink (#e0e0e0, 3.5%), pink (#f0d0a0, 3.5%)`. This change in the sampled pixel colors is objective proof that the image rendering has changed, which corresponds to the ",SUCCESS,"All the steps from the bug report have been successfully executed. The bug, which involves visual artifacts appearing on an image when it is opened for the second time, is expected to be present at this stage. As I cannot visually inspect the image content for artifacts, I am concluding the reproduction process as successful based on the completion of the required steps.",FAIL,Non-crash bug (crash-only oracle cannot detect)
FossifyOrg_Gallery_642,pinch_zoom,FossifyOrg/Gallery,https://github.com/FossifyOrg/Gallery/issues/642,1.5.0,Zoom doesn't work in photos,"zoom in, zoom, swipe",Non-Crash,SUCCESS,"After opening a photo and swiping to the next one, performing a pinch-to-zoom gesture did not scale the image, confirming that the zoom functionality is broken as described in the bug report.",FAIL,SKIPPED - ReBL lacks required gesture command,FAIL,Non-crash bug (crash-only oracle cannot detect)
FossifyOrg_Gallery_728,pinch_zoom,FossifyOrg/Gallery,https://github.com/FossifyOrg/Gallery/issues/728,1.8.0,(Deep zooming) Can not pan after releasing only one finger after pinch zooming,"pinch, pinch to zoom, pinch zoom, zoom in, zoom, two finger, touch",Non-Crash,SUCCESS,"After performing a pinch-to-zoom on an image, subsequent gestures failed as described in the bug report. A single-finger swipe, which should have panned the zoomed image, instead navigated to the next image. A subsequent pinch-to-zoom gesture was then ignored, and the image did not zoom. This confirms that the gesture handler enters a broken state.",FAIL,SKIPPED - ReBL lacks required gesture command,FAIL,Non-crash bug (crash-only oracle cannot detect)
FossifyOrg_Paint_125,pinch_zoom,FossifyOrg/Paint,https://github.com/FossifyOrg/Paint/issues/125,1.2.0,Touch location and pen location different after zooming/rotation,pinch_zoom,Non-Crash,SUCCESS,"The bug has been successfully reproduced. After performing the specified sequence of pinch-to-zoom operations, a swipe gesture intended to draw a line from (300, 300) to (600, 600) resulted in a line being drawn at a significantly offset location on the canvas, as shown in the final screenshot. This matches the ",FAIL,SKIPPED - ReBL lacks required gesture command,FAIL,Timed out (600s)
